type,text,evidence,story,story_id,file,text_norm,cluster
principle,Value community and hard work as central virtues.,"By and large, the citizens were honest, hard-working, thoughtful and genuine contributors to their community.",A Towhead from the Red Clay Hills,P1_S01,P1_S01.json,value community and hard work as central virtues,1
principle,"Early influences (home, school, church) are foundational to character development.","Home, school and church were the basic touch points of my existence and they all provided positive in fluences on my development.",A Towhead from the Red Clay Hills,P1_S01,P1_S01.json,"early influences (home, school, church) are foundational to character development",2
principle,Remembering origins helps explain later choices and identity.,far removed from the glitter and glitz that ultimately became his destiny.,A Towhead from the Red Clay Hills,P1_S01,P1_S01.json,remembering origins helps explain later choices and identity,14
principle,Hands-on community activities and local institutions provide practical learning opportunities.,There were community activities galore.,A Towhead from the Red Clay Hills,P1_S01,P1_S01.json,hands-on community activities and local institutions provide practical learning opportunities,8
heuristic,"When evaluating a person's appeal or credibility, emphasize relatable local roots and shared background.","This is just Jesse Yancy, a country boy who was born and raised right here in these red clay hills of Calhoun County,",A Towhead from the Red Clay Hills,P1_S01,P1_S01.json,"when evaluating a person's appeal or credibility, emphasize relatable local roots and shared background",5
heuristic,"Anchor development efforts in the combined influence of home, school, and faith communities.","Home, school and church were the basic touch points of my existence",A Towhead from the Red Clay Hills,P1_S01,P1_S01.json,"anchor development efforts in the combined influence of home, school, and faith communities",2
heuristic,Use participation in community activities as low-risk opportunities for learning and growth.,There were community activities galore.,A Towhead from the Red Clay Hills,P1_S01,P1_S01.json,use participation in community activities as low-risk opportunities for learning and growth,8
principle,High-quality teaching produces lasting advantage and prepares for future success.,the quality of the education delivered was simply superb.,A V ery Busy T eenager,P1_S02,P1_S02.json,high-quality teaching produces lasting advantage and prepares for future success,7
principle,"Extracurricular activities build skills, confidence, and social bonds.",All sorts of activities outside the classroom supplemented the academic program.,A V ery Busy T eenager,P1_S02,P1_S02.json,"extracurricular activities build skills, confidence, and social bonds",4
principle,Leaders must develop delegation skills rather than assuming excessive responsibility.,"Throughout my later business career, I struggled from time to time with leadership and management issues —taking on too much of the responsibility myself and failing to distribute the workload.",A V ery Busy T eenager,P1_S02,P1_S02.json,leaders must develop delegation skills rather than assuming excessive responsibility,9
principle,Adversity can be an opportunity to learn durable skills.,"While sick and recovering, I read about and ordered a newly published book by Harry Lorayne called How to Develop a Super Power Memory.",A V ery Busy T eenager,P1_S02,P1_S02.json,adversity can be an opportunity to learn durable skills,4
heuristic,"When uncertain about career direction, take aptitude tests and consult mentors before deciding.","I talked to Mr. Harrison, the school superintendent, about it and he suggested I take an aptitude test.",A V ery Busy T eenager,P1_S02,P1_S02.json,"when uncertain about career direction, take aptitude tests and consult mentors before deciding",5
heuristic,"If volunteers won't contribute, be prepared to complete critical tasks yourself but recognize and plan to develop delegation skills later.",I did about 90 percent of the work required to publish the paper.,A V ery Busy T eenager,P1_S02,P1_S02.json,"if volunteers won't contribute, be prepared to complete critical tasks yourself but recognize and plan to develop delegation skills later",9
heuristic,Use recovery or downtime to practice and acquire skills that yield long-term benefits.,"While sick and recovering, I read about and ordered a newly published book by Harry Lorayne called How to Develop a Super Power Memory.",A V ery Busy T eenager,P1_S02,P1_S02.json,use recovery or downtime to practice and acquire skills that yield long-term benefits,6
heuristic,Heavily weigh objective professional assessments when they clearly favor one option.,"Among about twenty-five professions, the highest rating by a wide margin was a category called ""CPA/Owner"".",A V ery Busy T eenager,P1_S02,P1_S02.json,heavily weigh objective professional assessments when they clearly favor one option,0
